LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,TARGET
20000,2,1,2,46,1,2,2,2,0,0,14231,14893,16160,15603,15943,16286,1200,1800,0,600,600,751,Default
30000,2,2,1,35,2,2,2,2,2,0,23785,20946,23785,24422,23688,19626,0,3500,1319,0,800,1610,Default
70000,1,1,1,42,0,0,0,0,0,0,71255,71338,71267,69813,71324,71268,2800,2800,2900,2800,2800,2990,Default
50000,1,2,1,43,2,0,0,0,0,0,30106,30566,30699,30038,29224,29346,1878,1641,1000,934,1109,960,Default
100000,1,3,2,44,0,0,0,0,0,0,90128,91542,92686,94122,53720,54866,4200,3900,3854,2000,2000,2000,Default
30000,1,2,1,37,0,0,0,0,0,0,15054,15104,15428,16273,16305,780,1551,1265,1500,841,0,0,Default
90000,2,2,2,26,2,2,2,2,0,0,88103,90951,92226,89817,87296,89130,8300,3600,0,3300,3400,4000,Default
210000,1,1,2,33,1,-2,-2,-2,-1,-1,0,0,0,0,700,0,0,0,0,700,0,0,Default
180000,1,1,1,36,0,0,0,0,0,0,163736,116422,99278,95766,97753,95927,4655,2690,2067,2142,2217,1000,Default
50000,1,2,2,40,2,0,0,2,0,0,11058,12479,13876,13444,13367,13282,2000,2000,1000,1000,1000,2000,Default
390000,2,1,2,27,0,0,0,0,0,0,304867,299998,300426,292869,292885,281826,13007,10612,10041,11000,10512,7000,Default
300000,1,2,2,29,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,Default
30000,1,2,2,37,0,-1,2,0,0,0,1197,2536,1100,710,320,-70,2600,0,0,0,0,1000,Default
150000,2,1,1,39,1,2,2,2,2,2,80762,77506,75239,71245,69214,24036,0,3700,0,2000,0,2000,Default
300000,1,1,1,58,1,2,2,2,2,2,158230,160242,156171,165556,169250,172804,6000,0,12000,6500,6500,6500,Default
40000,1,1,2,34,0,0,2,0,0,2,38849,40315,38401,39224,40364,38391,3600,0,2100,3226,0,1531,Default
10000,1,2,2,23,0,0,0,0,0,0,9984,9974,9900,9941,9250,9403,1300,1300,1041,1000,2000,464,Default
300000,1,3,1,56,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,Default
60000,2,3,1,48,0,0,0,0,0,0,58653,59063,53377,37418,37543,35447,2500,2000,1900,1500,1300,1300,Default
450000,2,2,1,37,-1,-1,-1,-1,-1,-1,1212,791,2663,783,1730,-51443,1032,2663,783,1730,0,70803,Default
50000,1,1,2,29,2,2,2,2,2,2,24987,24300,26591,25865,27667,28264,0,2700,0,2225,1200,0,Default
240000,1,2,1,41,0,0,0,0,0,0,238902,241717,240041,231036,194520,195392,8135,8685,10252,7016,7033,7019,Default
30000,1,2,1,36,-1,2,-1,-1,-1,-1,1226,390,390,390,390,0,0,390,390,390,0,780,Default
220000,2,2,1,36,2,2,2,0,0,0,195725,197466,189149,187531,187856,186532,8200,0,7000,7000,7200,23700,Default
50000,1,2,2,32,0,0,3,2,2,2,15276,19797,19205,18600,19697,20243,4800,0,0,1700,1000,0,Default
50000,1,2,2,26,2,2,2,2,2,2,32976,34154,33311,35246,34548,36910,2000,0,2800,0,3100,0,Default
30000,2,2,2,26,0,0,0,0,0,0,17893,19012,20123,20222,20796,19844,1411,1522,621,795,715,1000,Default
470000,1,3,2,37,2,2,0,0,0,0,519901,499024,494290,470617,398523,389927,0,20600,19000,14000,13600,13600,Default
450000,1,1,2,31,1,2,2,2,-2,-2,153246,151659,10199,0,0,0,4009,2000,0,0,0,0,Default
100000,1,2,2,31,1,2,2,2,3,2,24377,25167,24541,27304,26669,26172,1400,0,3100,0,0,2000,Default
30000,2,2,1,42,2,0,0,0,0,2,9985,10688,11710,13030,13776,13415,1176,1198,1518,1264,0,1308,Default
20000,2,2,1,48,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,Default
310000,1,1,2,29,2,0,0,0,0,0,45153,36123,26113,22661,20351,16639,2904,1500,1000,2000,1000,2000,Default
190000,1,2,2,40,2,2,2,2,2,2,145613,156765,159386,161870,165725,169928,15000,6600,6500,6500,7000,7000,Default
30000,2,2,2,49,2,2,2,2,2,2,17667,18577,17991,20182,19560,21241,1500,0,2500,0,2000,0,Default
200000,1,2,1,38,2,2,2,0,0,0,104978,105924,102663,97090,98045,105253,4500,0,3500,3500,9000,0,Default
280000,2,1,2,37,-1,2,-1,-1,-1,-1,2560,2343,4689,2289,1700,803,0,4689,2300,1725,803,129,Default
50000,2,1,2,32,1,2,2,2,0,0,20091,20175,22718,22057,23044,24990,700,3200,0,1500,2340,924,Default
400000,1,1,1,40,-1,-1,-2,-1,-1,-2,4750,0,0,2827,0,0,0,0,2827,0,0,3347,Default
170000,2,2,2,28,-1,0,0,2,0,0,2948,3848,5646,5464,5577,5889,1105,1903,0,296,500,95,Default
230000,2,2,1,46,-1,-1,-1,-1,-1,-1,782,316,0,632,316,2398,316,0,632,316,2398,1783,Default
420000,2,1,2,33,-2,-2,-2,-2,-2,-2,6135,-2314,-3859,172,3859,8274,51,0,4031,3859,5000,0,Default
100000,1,1,2,34,0,0,2,2,2,2,18185,24932,24246,26839,26109,27686,7100,0,3000,0,2000,0,Default
200000,1,1,2,27,0,0,2,0,0,0,186778,206582,201714,177469,184502,191529,23000,157,10000,10000,10000,17000,Default
200000,2,1,2,27,0,0,2,2,2,2,159215,172029,167856,179126,174748,179337,15500,0,14100,0,7400,13000,Default
80000,1,1,2,26,0,0,0,0,0,0,79650,80821,65609,49640,49685,46684,3515,2627,1697,2000,1700,3000,Default
370000,1,1,2,36,0,0,0,0,0,0,297678,306455,307734,225974,231720,222733,12033,12015,7035,15037,7066,8000,Default
210000,2,1,2,32,1,-1,2,2,-1,-1,0,92,4,0,45,23,92,0,0,45,23,0,Default
70000,1,3,1,44,-1,0,-1,-1,2,-1,5484,5221,340,1430,930,4110,1000,340,1480,0,4110,0,Default
180000,2,2,2,34,2,0,0,0,2,2,51385,53925,54848,57988,59438,61974,3140,923,4663,2530,3687,5000,Default
130000,1,1,2,25,1,-2,-2,-2,-2,-2,-2000,-2000,-2000,-2000,-2000,-2000,0,0,0,0,0,0,Default
100000,2,2,1,58,2,2,2,0,0,0,86654,87851,85594,87095,88357,77155,3500,0,3300,2839,3000,4000,Default
30000,2,3,1,39,-1,2,-1,-1,-2,-2,1937,640,1751,0,0,0,0,1751,0,0,0,0,Default
50000,1,2,1,32,0,0,0,0,0,0,41266,50669,48942,27836,40346,38668,27004,1613,1484,3675,698,1000,Default
50000,2,2,2,32,1,2,0,0,0,3,32814,32004,33017,33868,38151,37253,0,1550,1400,5000,0,0,Default
10000,1,1,2,22,2,2,2,0,0,2,6883,9108,8813,10066,10017,9705,2500,0,1400,1100,0,500,Default
20000,2,1,2,32,-1,-1,-1,-2,-1,-1,2095,7733,0,0,4076,1911,7733,0,0,4076,1911,0,Default
360000,2,1,2,49,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,Default
20000,2,1,2,25,1,2,2,2,2,3,8483,10186,10871,10402,12077,11594,2000,1000,0,2000,0,0,Default
70000,2,1,1,36,1,2,2,0,0,2,18514,19913,19310,20021,22175,21680,2000,0,1339,2493,0,792,Default
150000,2,2,1,39,2,2,0,0,0,0,156713,152744,150785,140166,143125,151741,0,5694,5014,5215,11016,0,Default
150000,2,1,1,30,0,0,-2,-2,-2,-2,6154,0,0,0,0,0,0,0,0,0,0,26286,Default
230000,1,1,1,35,-1,-1,-2,-2,-2,-2,3454,0,0,0,0,0,0,0,0,0,0,0,Default
210000,2,1,1,36,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,Default
100000,2,2,1,26,0,0,0,2,0,0,95087,87380,87083,82653,72867,74140,3965,7138,0,2448,2674,2672,Default
100000,1,2,2,37,2,2,2,2,2,2,24927,27689,26960,29504,30020,29995,3185,0,3000,1300,600,2000,Default
500000,1,2,2,32,-1,-1,0,0,0,-1,264,286,550,286,22,14454,286,528,0,128,15239,100000,Default
190000,1,1,2,36,2,2,2,2,2,2,107689,109678,110887,111871,114223,116577,5200,4500,4300,4300,4400,4500,Default
30000,1,2,2,31,1,2,2,2,2,2,10916,11940,11462,13263,12758,13545,1500,0,2300,0,1300,800,Default
60000,1,2,1,36,3,2,2,7,7,6,2400,2400,2400,2400,2400,1800,0,0,0,0,0,0,Default
200000,1,2,2,27,2,0,0,0,0,0,189605,191628,180604,181273,180385,185370,14635,10019,8029,7010,10022,7049,Default
50000,2,1,1,25,0,0,0,0,0,0,30479,31200,31817,29229,29529,30053,1528,1461,1030,1070,1320,1212,Default
90000,1,2,1,35,0,0,0,0,0,0,90467,88834,89791,53096,52340,27660,4000,5000,3100,1700,1421,319,Default
70000,2,2,1,46,2,2,2,2,2,2,24036,25035,25930,26206,26477,27404,1700,1600,1000,1000,1500,0,Default
30000,2,1,2,23,0,0,2,2,3,2,21077,23793,23130,28790,28038,27451,3383,0,6380,0,0,2300,Default
30000,1,1,2,30,1,2,2,2,0,0,21996,21356,23496,22820,23352,23963,0,2500,0,900,1000,1200,Default
70000,1,2,1,44,1,2,2,2,2,2,54297,52837,56581,55084,56071,59008,0,5200,0,2500,4000,0,Default
50000,1,2,2,25,1,2,0,0,0,0,21679,18566,19918,19584,18508,20047,0,2000,1500,1000,2000,676,Default
200000,2,3,1,29,2,2,2,2,0,0,128649,131059,132120,128669,131499,143020,6000,4600,0,4800,13700,500,Default
150000,2,1,2,29,-1,0,-1,-1,2,0,1148,3019,100,802,802,702,2000,100,702,0,0,0,Default
50000,2,2,3,31,2,2,3,2,2,2,39193,42816,42838,43335,44220,45159,4600,1000,1500,1900,1800,1200,Default
140000,2,2,1,44,0,0,0,0,0,0,127254,109717,81545,81454,60176,79728,6050,3700,2000,3000,20000,1500,Default
280000,1,1,1,45,2,2,2,2,2,2,2482,2482,2482,2482,2482,2482,0,0,0,0,0,18,Default
200000,2,1,1,35,-1,2,-1,-1,-1,-1,1972,582,1891,0,1908,290,0,1891,0,1908,290,3100,Default
150000,2,1,2,37,-1,-1,-1,-1,-1,-1,7591,5538,18987,0,1399,150,5538,18987,0,1399,150,203,Default
500000,2,1,1,37,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,Default
50000,2,2,2,27,2,0,0,0,2,2,16557,17975,20366,22710,23541,23027,2000,3000,3000,1500,0,1000,Default
30000,1,1,1,37,0,0,0,0,0,0,29104,30606,30416,28165,28654,29083,2000,2000,2003,2000,1000,402,Default
130000,2,1,2,24,2,0,0,0,0,0,126874,129837,131332,97878,99594,98667,6500,5400,3446,3561,4000,3700,Default
80000,1,1,2,38,-1,-1,-1,0,-1,-1,780,259,7544,390,390,332,259,7544,0,390,332,780,Default
270000,2,3,1,37,-1,-1,-1,-1,-1,-1,384,2197,186,0,173,0,2197,186,0,173,0,433,Default
80000,2,2,1,32,2,2,0,0,0,2,70381,68660,70081,70899,75331,74005,0,3126,2578,5616,0,3000,Default
140000,1,1,2,41,2,2,2,0,0,0,138379,143684,139902,142729,142406,142694,9000,0,6800,40000,5600,5900,Default
327680,1,3,2,42,0,0,0,0,0,0,344011,336175,333048,277250,256365,243600,11219,11461,9100,8345,7783,9200,Default
150000,2,2,1,30,-1,-1,2,-1,-1,-1,696,1392,696,696,873,1392,1392,0,696,873,1392,696,Default
180000,1,2,2,32,-1,-1,-1,-1,-1,-1,1071,1671,1981,4241,4542,5261,1671,1981,4241,4542,5261,4731,Default
230000,2,1,2,32,1,2,2,2,0,0,205498,210424,212979,207759,212014,225246,10000,7598,0,8000,17000,0,Default
160000,2,1,1,43,-1,-1,-1,-1,-1,-1,2980,2817,0,450,748,5054,2817,0,450,748,5054,4711,Default
30000,2,3,2,38,0,0,0,0,0,0,25546,28820,28538,28208,29326,29508,3700,718,1500,1500,3000,12357,Default
20000,1,2,1,30,-1,-1,0,0,-1,-1,1261,2835,2522,1261,1261,930,2835,1000,0,1261,930,540,Default
120000,1,2,1,57,0,0,0,0,0,0,118709,120580,118684,88557,91124,88094,5000,5007,4000,4003,4003,4000,Default
50000,1,3,2,34,2,2,2,2,3,2,44951,45906,46872,49974,50023,53367,2000,2000,4200,1170,4300,0,Default
240000,1,2,1,38,2,2,-1,-1,0,0,7123,6848,836,2508,1672,836,836,836,2508,0,0,563,Default
60000,1,1,2,31,2,2,2,2,2,2,60705,62352,60745,58828,55606,58551,3200,0,4580,0,4727,0,Default
100000,2,1,1,33,-1,-1,-2,-2,-2,-2,3976,0,0,0,0,0,0,0,0,0,0,402,Default
120000,1,2,1,44,-1,2,-1,0,-1,-1,4936,2476,5696,1762,1381,1061,0,5696,0,1381,1061,1320,Default
20000,2,3,1,31,1,2,0,0,0,0,15043,14509,19092,19113,19483,14523,0,5166,2963,833,812,0,Default
200000,2,2,1,40,-1,-1,-1,-1,-1,-1,390,390,390,390,390,390,390,390,390,390,390,390,Default
170000,2,2,2,32,0,0,0,0,-1,0,10928,8400,5654,6285,4417,740,6151,4110,6920,6637,0,16744,Default
500000,1,1,1,35,2,0,0,-1,0,0,510367,473584,167682,501496,508213,496801,24913,5872,508229,18089,14070,15009,Default
50000,2,2,2,25,8,7,6,5,4,3,37647,37102,36238,36374,35229,34365,0,0,1000,0,0,3000,Default
50000,1,1,1,27,2,2,2,2,0,0,43333,46308,47250,46192,46997,48221,4000,2000,0,1700,2000,3600,Default
40000,2,2,2,23,2,2,2,0,0,0,33313,34086,33239,33938,34694,35389,1600,0,1250,1300,1270,2800,Default
90000,2,2,2,23,2,3,3,2,2,2,82623,86621,84369,82117,84395,85739,5900,0,0,3600,2900,3500,Default
110000,2,1,2,29,0,0,0,0,0,0,105102,107388,106805,107608,108643,109689,5289,3875,3830,4000,4000,5000,Default
50000,2,1,1,43,0,0,0,0,0,2,49819,49390,50612,29975,30559,29433,2227,2449,1778,2382,0,1251,Default
170000,2,1,2,27,-2,-2,-2,-2,-2,-2,106,18719,30000,0,0,1532,18719,30000,0,0,1532,0,Default
20000,2,2,1,29,0,0,2,2,2,2,9665,12186,11700,13474,13006,13743,2700,0,2000,0,1055,0,Default
50000,2,3,2,26,0,0,0,-2,-2,-1,6450,10744,0,0,0,239,4500,0,0,0,239,3363,Default
30000,2,1,2,26,1,2,0,0,0,-1,30739,29586,29412,18587,1558,4681,0,1331,49,5,5363,8,Default
20000,1,1,2,25,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,Default
20000,2,2,2,45,0,0,-1,2,2,2,13521,4964,882,882,914,930,1000,900,0,182,16,0,Default
20000,2,2,1,21,1,-2,-1,-1,-2,-2,0,0,289,0,0,0,0,289,0,0,0,0,Default
200000,2,2,2,23,0,0,-2,-2,-2,-2,61650,0,0,0,0,0,0,0,0,0,0,0,Default
350000,1,2,2,32,0,0,0,0,0,0,227873,228009,220450,190173,192649,197269,10156,9000,8700,7000,7600,7800,Default
100000,2,3,1,55,-2,-2,-2,-2,-2,-2,390,390,390,390,390,390,390,390,390,390,390,390,Default
20000,1,2,2,24,2,2,2,0,0,2,14195,15166,14638,15582,17809,17385,1500,0,1500,2500,0,1500,Default
20000,2,2,1,38,3,4,3,2,2,2,18666,18087,17517,16930,18043,17156,0,0,0,1381,0,1600,Default
20000,1,2,1,45,2,2,0,0,0,0,21136,20043,20192,19459,36290,19774,11,2505,2000,3000,1203,500,Default
110000,2,1,2,37,2,2,2,2,2,2,600,600,600,600,600,600,0,0,0,0,0,0,Default
50000,2,1,2,27,1,2,2,-2,-2,-2,4040,3800,0,0,0,0,0,0,0,0,0,0,Default
20000,1,1,2,22,0,0,2,0,0,0,18523,17889,16473,19004,19254,16287,3500,0,3000,574,539,342,Default
20000,2,2,1,29,0,0,0,-1,-1,-1,3138,4090,2060,780,1000,0,1030,1000,780,1000,0,0,Default
110000,2,1,1,33,2,2,2,2,2,2,24178,25270,24669,26738,27201,26723,1700,0,2700,1100,0,875,Default
50000,2,2,1,39,2,2,2,2,0,0,78874,74268,66468,56847,50680,26729,4725,1400,0,1545,2022,51000,Default
50000,1,2,1,35,-1,2,0,0,0,0,15609,14686,15831,16884,18070,19218,0,2100,2000,2000,2000,2000,Default
70000,2,1,2,32,2,0,0,0,0,0,34640,35757,37175,38254,39017,39834,2000,2000,1700,1400,1446,1500,Default
90000,2,2,2,36,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,3500,Default
20000,1,3,2,23,0,0,0,0,0,0,8038,9060,11600,12307,12703,12970,1161,2701,1204,600,620,622,Default
50000,2,2,1,23,0,0,0,0,0,0,5215,6232,7251,8326,9184,10031,1106,1125,1200,1000,1000,1000,Default
10000,1,2,2,32,1,2,0,0,0,0,9001,8322,8630,8630,7850,8150,0,1400,0,0,1600,0,Default
360000,2,1,1,48,1,-1,-1,-2,-2,-2,491,3670,-114,-200,-200,-200,3700,0,0,0,0,0,Default
160000,2,2,1,26,-1,-1,-1,-1,-1,-1,1319,3934,399,690,590,0,3941,399,690,590,0,1926,Default
50000,2,2,2,27,2,2,2,2,2,2,41126,42244,43264,43751,44731,45770,2100,2000,1500,2000,1900,1900,Default
30000,1,3,2,33,0,0,0,0,0,0,30384,30134,30646,29657,30232,28415,3010,3000,3000,3000,1083,0,Default
130000,1,2,1,48,3,2,2,2,3,3,120326,121877,118491,131444,133248,131001,5000,0,15000,5327,22,10,Default
20000,2,1,2,25,2,2,0,0,0,0,18446,17859,18718,17009,18721,20209,0,1718,900,2000,1800,0,Default
60000,1,3,2,30,0,0,0,0,0,0,54952,56021,54126,58732,59306,59728,2600,4553,5800,2000,1000,1462,Default
190000,2,2,2,27,2,2,2,0,0,0,4686,5459,6214,7104,8973,10809,1000,1000,1000,2000,2000,2000,Default
30000,2,1,2,24,0,-1,2,-1,0,0,2880,3285,2280,248,248,-150,3285,0,248,0,0,0,Default
50000,1,2,1,46,0,0,0,0,0,0,47929,48905,49764,36535,32428,15313,2078,1800,1430,1000,1000,1000,Default
40000,1,1,2,27,2,0,0,0,0,0,10181,11058,11471,11776,12660,12660,2500,2000,1500,2330,2300,1000,Default
30000,1,2,2,25,0,0,0,0,0,0,7653,8864,10062,11581,12580,13716,1500,1500,2000,1500,1500,1500,Default
50000,2,3,1,46,1,2,-1,3,2,0,8354,6024,116,116,9982,8143,0,116,0,10040,400,2272,Default
10000,1,2,2,22,1,2,2,2,0,0,7019,6760,8882,8520,8694,8871,0,2400,0,174,177,181,Default
120000,2,2,2,26,-1,2,0,0,0,2,2682,1725,2682,3272,3455,3261,0,1000,1000,1000,0,2000,Default
30000,1,3,2,25,2,2,2,0,0,2,22440,24168,23481,23950,25659,25098,2390,0,859,2097,0,1092,Default
30000,2,3,1,34,0,0,-1,2,-1,0,8090,0,3398,2855,2115,521,0,6253,0,2115,0,2000,Default
160000,1,1,2,31,0,0,0,0,0,0,157303,161498,153226,78511,9808,8358,8055,5045,2280,305,2000,2000,Default
150000,1,2,2,36,-1,-1,-2,-2,-2,-2,5382,0,0,0,0,0,0,0,0,0,0,0,Default
500000,1,1,1,59,-2,-2,-2,-2,-2,-2,0,0,994,3342,1240,700,0,994,3342,1240,700,2250,Default
60000,1,2,2,42,1,2,0,0,0,0,60560,56471,36057,35077,69251,71478,2065,1988,2500,62731,3600,1600,Default
230000,2,2,1,39,0,-1,0,0,-1,0,5650,3798,6701,10382,4842,5792,3798,3000,5000,4842,3000,3000,Default
30000,1,1,2,28,-1,2,2,0,0,0,1190,2107,1098,1098,1248,982,1098,0,0,982,150,0,Default
50000,1,1,1,41,2,0,0,0,0,0,39159,40194,41209,42125,43443,44476,1669,1684,1600,2000,1753,1696,Default
30000,2,2,2,25,0,0,0,0,0,0,19309,20009,21034,22050,22490,22961,1325,1350,1366,806,834,836,Default
200000,2,2,2,36,0,0,0,0,0,0,9738,10749,11773,12784,13039,13314,1177,1201,1212,467,485,1147,Default
180000,1,2,1,30,-1,-1,-1,-1,0,-1,375,375,375,750,375,399,375,375,750,0,399,399,Default
160000,1,2,1,32,1,2,0,0,0,0,5525,4039,3656,3801,2540,2279,0,1094,1500,0,1000,0,Default
160000,1,1,2,33,1,-1,2,0,0,-1,-77,1598,1097,772,447,797,2000,0,0,0,1000,0,Default
